Survived,Age,Embarked,Fare,Pclass,Sex,Family_Size,Honorific,Ticket_info,Deck
0,52,2,13,1,1,0,2,36,8
0,44,2,8,2,1,0,2,36,8
1,28,1,7,2,0,0,1,36,8
0,49,0,110,0,1,2,2,36,3
0,42,2,7,2,1,0,2,36,6
1,18,0,227,0,0,1,3,14,3
1,35,2,26,0,1,0,2,14,5
0,18,0,14,2,0,1,1,36,8
0,25,1,7,2,1,0,2,36,8
0,26,2,7,2,1,1,2,36,8
0,39,2,26,1,1,0,2,36,8
1,45,2,13,1,0,0,3,36,8
1,42,2,26,0,1,0,2,14,5
1,22,2,151,0,0,0,1,36,8
1,39,0,15,2,1,2,0,36,8
1,24,0,49,0,0,0,1,14,3
0,26,2,26,0,1,0,2,36,3
1,48,2,52,0,1,1,2,36,3
0,29,2,9,2,1,0,2,36,8
0,52,2,13,1,1,0,2,36,8
0,19,2,7,2,1,0,2,36,6
1,38,0,227,0,0,0,1,14,3
1,27,2,10,1,0,0,1,36,5
0,21,1,15,2,1,0,2,36,8
0,33,2,7,2,1,0,2,36,8
1,6,2,33,1,0,1,1,36,8
0,17,2,7,2,1,1,2,36,8
0,34,2,13,1,1,0,2,36,8
0,50,2,13,1,1,0,2,36,8
1,27,2,53,0,1,1,2,36,5
0,20,2,8,2,1,0,2,36,8
1,30,2,21,1,0,3,3,36,8
1,24,1,7,2,0,0,1,36,8
0,25,2,26,1,1,1,2,36,8
0,25,2,7,2,0,1,1,31,8
1,29,2,211,0,0,0,1,36,2
0,11,0,18,2,1,0,2,36,8
0,41,2,0,1,1,0,2,36,8
0,23,2,13,1,1,0,2,36,8
0,23,2,13,1,1,0,2,36,8
0,28,2,16,2,1,0,2,36,8
0,48,2,34,2,0,4,3,34,8
1,35,0,512,0,1,0,2,14,2
0,22,2,7,2,1,0,2,36,8
0,37,2,7,2,1,0,2,36,8
1,34,2,30,0,1,0,2,36,4
0,36,2,78,0,1,1,2,36,3
1,21,0,262,0,0,4,1,14,2
0,24,2,16,2,1,1,2,36,8
1,31,2,7,2,1,0,2,30,8
0,70,2,71,0,1,2,2,35,2
0,16,2,20,2,1,2,2,7,8
1,30,2,13,1,0,0,1,36,8
0,19,2,53,0,1,1,2,36,4
0,31,1,7,2,1,0,2,36,8
1,4,2,23,1,0,2,1,36,8
1,6,2,12,2,1,1,0,36,5
0,33,2,9,2,1,0,2,36,8
0,23,2,7,2,1,0,2,36,8
1,48,2,65,1,0,3,3,36,8
1,0,2,14,1,1,2,0,36,8
0,28,2,7,2,1,0,2,36,8
0,18,2,11,1,1,0,2,36,8
0,34,2,8,2,1,0,2,36,8
1,33,2,86,0,0,0,3,36,2
0,39,2,14,2,1,0,2,36,8
0,41,2,7,2,1,0,2,27,8
1,20,0,7,2,1,0,2,36,8
1,36,2,120,0,0,3,3,36,2
0,16,2,7,2,1,0,2,36,8
1,51,2,77,0,0,1,3,36,4
0,30,0,39,0,1,0,2,36,8
0,30,1,7,2,0,0,1,36,8
0,18,1,24,2,1,1,2,36,8
0,32,2,8,2,1,0,2,36,8
0,24,2,9,2,1,0,2,36,8
0,48,2,7,2,1,0,2,36,8
0,57,2,10,1,0,0,3,26,5
0,41,0,7,2,1,0,2,36,8
1,54,2,23,1,0,4,3,36,8
0,18,2,7,2,1,0,2,36,8
0,39,1,7,2,1,0,2,36,6
1,5,2,12,2,0,0,1,36,8
0,26,1,7,2,1,0,2,36,8
1,43,2,211,0,0,1,3,36,2
1,13,0,7,2,0,0,1,36,8
1,17,2,57,0,0,1,3,36,2
0,29,2,30,0,1,0,2,36,4
0,28,2,23,2,1,3,2,34,8
0,25,2,7,2,1,0,2,28,8
0,25,2,7,2,1,0,2,36,8
1,18,2,7,2,0,0,1,36,8
0,8,1,29,2,1,5,0,36,8
1,1,2,20,2,1,3,0,7,8
0,46,0,79,0,1,0,2,14,2
0,37,1,7,2,1,0,2,36,8
0,16,2,26,1,1,0,2,36,8
0,33,2,69,2,0,10,1,7,8
0,37,0,30,0,1,0,2,14,8
0,25,2,7,2,1,0,2,36,8
0,39,2,13,1,1,0,2,36,8
1,49,2,25,0,0,0,2,36,4
1,31,2,8,2,0,0,3,36,8
0,30,0,7,2,1,0,2,36,8
0,30,2,24,2,0,2,3,36,8
0,34,2,13,1,1,0,2,36,8
1,31,2,26,1,0,2,3,7,8
1,11,2,120,0,1,3,0,36,2
1,0,0,8,2,1,1,0,36,8
1,27,2,6,2,1,0,2,36,8
0,31,2,7,2,1,0,2,36,8
0,39,2,0,0,1,0,2,36,1
0,18,2,7,2,0,0,1,36,8
0,39,2,13,1,1,0,2,36,8
1,33,2,53,0,0,1,3,36,5
0,26,2,7,2,1,0,2,36,8
0,39,2,24,2,1,0,2,1,8
0,35,2,10,1,1,0,2,36,8
0,6,2,31,2,0,6,1,36,8
0,30,2,8,2,1,0,2,36,8
0,37,2,0,0,1,0,2,36,2
0,23,2,7,2,0,0,1,31,8
0,31,0,37,1,1,2,2,22,8
0,43,2,6,2,1,0,2,6,8
0,10,2,27,2,1,5,0,36,8
1,52,2,93,0,0,2,3,36,2
1,27,2,8,2,1,0,2,36,8
0,38,2,0,0,1,0,2,36,8
1,27,2,12,2,0,1,3,36,5
0,2,2,39,2,1,5,0,36,8
0,35,1,6,2,1,0,2,36,8
0,23,2,56,2,1,0,2,36,8
1,1,0,37,1,1,2,0,22,8
1,32,1,7,2,1,0,2,36,8
1,62,2,80,0,0,0,3,36,2
1,15,0,14,2,0,1,3,36,8
1,0,2,18,1,1,2,0,36,8
0,25,0,7,2,1,0,2,36,8
0,23,2,7,2,1,0,2,36,8
0,18,2,8,2,1,0,2,36,8
1,39,0,83,0,0,2,1,14,5
0,21,2,8,2,1,0,2,36,8
0,15,2,8,2,1,0,2,36,8
1,32,2,56,2,1,0,2,36,8
1,26,0,29,0,1,0,2,36,3
0,20,2,7,2,1,0,2,27,8
0,16,2,10,1,1,0,2,26,8
1,30,0,31,0,0,0,1,36,8
0,34,0,6,2,1,0,2,36,8
0,17,2,8,2,1,0,2,36,8
0,42,2,7,2,1,0,2,7,8
0,18,2,69,2,1,10,2,7,8
0,35,0,7,2,1,0,2,36,8
0,28,2,33,1,1,1,2,36,8
1,16,0,89,0,0,1,3,36,3
0,4,2,31,2,1,6,0,36,8
0,74,2,7,2,1,0,2,36,8
0,9,0,15,2,0,2,1,36,8
1,16,2,39,0,0,1,1,14,4
0,44,2,26,1,0,1,3,36,8
1,18,2,9,2,0,1,3,36,8
1,45,2,164,0,0,2,3,36,8
1,51,2,26,0,1,0,2,36,5
1,24,0,19,2,0,3,3,36,8
0,31,0,7,2,1,0,2,36,8
0,41,2,14,2,1,2,2,36,8
0,21,2,11,1,1,1,2,36,8
1,48,2,25,0,0,0,3,36,4
0,32,2,69,2,0,10,1,7,8
0,24,2,13,1,1,0,2,36,8
1,42,2,13,1,0,0,3,36,8
1,27,0,13,1,0,1,1,22,8
0,31,2,50,0,1,0,2,14,1
0,30,2,9,2,1,0,2,36,8
1,4,2,11,2,1,2,0,36,8
0,26,2,7,2,1,0,2,36,8
1,47,2,52,0,0,2,3,36,4
0,33,2,5,0,1,0,2,36,2
0,47,2,9,2,1,0,2,36,8
1,28,0,24,1,0,1,3,16,8
1,15,0,7,2,0,0,1,36,8
0,20,2,9,2,1,0,2,36,8
0,19,2,7,2,1,0,2,36,8
0,36,2,7,2,1,0,2,36,8
1,56,0,83,0,0,1,3,36,3
1,25,2,26,1,0,1,3,36,8
0,33,2,7,2,1,0,2,36,8
0,22,2,10,2,0,0,1,36,8
0,28,2,10,1,1,0,2,8,8
0,25,2,7,2,1,0,2,28,8
0,39,1,29,2,0,5,3,36,8
0,27,2,13,1,1,0,2,36,8
1,19,2,30,0,0,0,1,36,2
0,39,2,23,2,0,3,1,34,8
1,26,0,30,0,1,0,2,36,3
0,32,1,7,2,1,0,2,36,8
